epoch,accuracy,loss,lr,mae,mse,val_accuracy,val_loss,val_mae,val_mse
18,0.9824215769767761,0.003679292043671012,4e-06,0.022001368924975395,0.003679292043671012,0.9818575382232666,0.0037481312174350023,0.022169148549437523,0.0037481312174350023
19,0.9824177026748657,0.0036782294046133757,4e-06,0.02199852652847767,0.0036782294046133757,0.981867253780365,0.003747476963326335,0.02216917648911476,0.003747476963326335
20,0.9824423789978027,0.00367709225974977,4e-06,0.02199486270546913,0.00367709225974977,0.9818859696388245,0.003747927723452449,0.02216244488954544,0.003747927723452449
21,0.9825239181518555,0.0036715983878821135,8e-07,0.02197171561419964,0.0036715983878821135,0.9819115996360779,0.00374508835375309,0.022159185260534286,0.00374508835375309
22,0.9825304746627808,0.0036709769628942013,8e-07,0.02196924202144146,0.0036709769628942013,0.9819199442863464,0.0037442322354763746,0.022154541686177254,0.0037442322354763746
23,0.9825335741043091,0.003670659614726901,8e-07,0.021969128400087357,0.003670659614726901,0.9819241166114807,0.003744443180039525,0.022156743332743645,0.003744443180039525
24,0.9825277924537659,0.003670385107398033,8e-07,0.021967899054288864,0.003670385107398033,0.9819483757019043,0.003744403598830104,0.022144624963402748,0.003744403598830104
25,0.9825254082679749,0.0036701338831335306,8e-07,0.021967120468616486,0.0036701338831335306,0.9819421172142029,0.0037443297915160656,0.022159498184919357,0.0037443297915160656
26,0.9825252294540405,0.0036699101328849792,8e-07,0.02196601778268814,0.0036699101328849792,0.9819220304489136,0.0037440916057676077,0.02215060405433178,0.0037440916057676077
27,0.9825471043586731,0.003669614437967539,8e-07,0.021965302526950836,0.003669614437967539,0.9819296598434448,0.0037441381718963385,0.022153707221150398,0.0037441381718963385
28,0.9825583100318909,0.0036684218794107437,1.6e-07,0.02196125127375126,0.0036684218794107437,0.981947660446167,0.0037433821707963943,0.02214743010699749,0.0037433821707963943
29,0.9825592041015625,0.0036683243233710527,1.6e-07,0.021960094571113586,0.0036683243233710527,0.9819497466087341,0.003743209643289447,0.022147996351122856,0.003743209643289447
30,0.9825645685195923,0.003668159479275346,1.6e-07,0.02195996232330799,0.003668159479275346,0.9819400310516357,0.0037433290854096413,0.022148754447698593,0.0037433290854096413
31,0.9825732111930847,0.0036681611090898514,1.6e-07,0.021960068494081497,0.0036681611090898514,0.9819324016571045,0.003743385197594762,0.022149531170725822,0.003743385197594762
32,0.982556939125061,0.0036680689081549644,1.6e-07,0.021959953010082245,0.0036680689081549644,0.9819608330726624,0.003743171226233244,0.02214842289686203,0.003743171226233244
33,0.9825777411460876,0.0036680041812360287,1.6e-07,0.02195972017943859,0.0036680041812360287,0.981947660446167,0.0037432461977005005,0.022147422656416893,0.0037432461977005005
34,0.9825699329376221,0.0036679133772850037,1.6e-07,0.021959247067570686,0.0036679133772850037,0.9819532036781311,0.003743305802345276,0.02214803360402584,0.003743305802345276
35,0.9825650453567505,0.0036676775198429823,3.2e-08,0.0219589676707983,0.0036676775198429823,0.9819733500480652,0.003743180073797703,0.022150667384266853,0.003743180073797703
36,0.98256516456604,0.0036676388699561357,3.2e-08,0.0219593308866024,0.0036676388699561357,0.9819691777229309,0.003743177279829979,0.022149382159113884,0.003743177279829979
37,0.982560396194458,0.003667578799650073,3.2e-08,0.02195914462208748,0.003667578799650073,0.9819580912590027,0.0037431803066283464,0.022148974239826202,0.0037431803066283464
